path	category	read_status	role	domain	key_symbols	contracts	dependencies	tests	docs_references	findings	size_bytes	line_count	last_commit_sha	last_commit_time	last_commit_subject
.env.example	ROOT_CONFIG	FULL_TEXT_READ		repository	[]	[]	[]	[]	"[""docs/Project-Structure.md"", ""docs/Dividend-T-Platform.md""]"	[]	307	8	24c8de2b5141d4d6a80d3f23eef1b6d084a48ecd	2026-07-09T00:03:11+08:00	Initial market-regime-alpha migration
.github/workflows/ci.yml	CI	FULL_TEXT_READ		repository	[]	[]	[]	[]	"[""docs/archive/superpowers/plans/2026-07-18-wp4a2-entry-path-as-of-evidence-correction.md"", ""docs/archive/superpowers/plans/2026-07-18-wp4a1-entry-path-temporal-price-lineage-hardening.md""]"	[]	427	21	a592a2fb827ae40d8fe9363d4bb05ff8c71b5ae7	2026-07-18T09:12:08+08:00	ci: enable manual workflow dispatch
.gitignore	ROOT_CONFIG	FULL_TEXT_READ		repository	[]	[]	[]	[]	"[""docs/Tushare-App.md"", ""docs/Usage-Manual.md"", ""docs/archive/superpowers/plans/2026-07-16-wp3-provider-routing-and-candidate-runs.md""]"	[]	1127	50	1988bfc052c9cea5e7204d6fe1616bdcba166fac	2026-07-19T00:08:14+08:00	feat: define qualified Xuntou PIT validation evidence
.idea/.gitignore	IDE_METADATA	FULL_TEXT_READ		repository	[]	[]	[]	[]	[]	[]	98	6	b2ec132aefadbc27d326483a5fef01c3f3aa5574	2026-07-13T22:19:46+08:00	提交代码
.idea/git_toolbox_prj.xml	IDE_METADATA	FULL_TEXT_READ		repository	[]	[]	[]	[]	[]	[]	480	15	7aa4afe33c7221752605dd5dfb3f821d6631dc0f	2026-07-14T00:01:46+08:00	提交代码
.idea/inspectionProfiles/profiles_settings.xml	IDE_METADATA	FULL_TEXT_READ		repository	[]	[]	[]	[]	[]	[]	174	6	b2ec132aefadbc27d326483a5fef01c3f3aa5574	2026-07-13T22:19:46+08:00	提交代码
.idea/market-regime-alpha.iml	IDE_METADATA	FULL_TEXT_READ		repository	[]	[]	[]	[]	[]	[]	474	11	7aa4afe33c7221752605dd5dfb3f821d6631dc0f	2026-07-14T00:01:46+08:00	提交代码
.idea/material_theme_project_new.xml	IDE_METADATA	FULL_TEXT_READ		repository	[]	[]	[]	[]	[]	[]	414	12	7aa4afe33c7221752605dd5dfb3f821d6631dc0f	2026-07-14T00:01:46+08:00	提交代码
.idea/modules.xml	IDE_METADATA	FULL_TEXT_READ		repository	[]	[]	[]	[]	[]	[]	290	8	b2ec132aefadbc27d326483a5fef01c3f3aa5574	2026-07-13T22:19:46+08:00	提交代码
.idea/vcs.xml	IDE_METADATA	FULL_TEXT_READ		repository	[]	[]	[]	[]	[]	[]	167	6	b2ec132aefadbc27d326483a5fef01c3f3aa5574	2026-07-13T22:19:46+08:00	提交代码
