path	title	document_type	declared_status	authority_level	last_modified_commit	last_modified_time	purpose	main_claims	implementation_claims	references	conflicts	duplicates	staleness	recommended_action	actual_action	target_path	verification_status
docs/Data-Spec.md	Data Spec	LEGACY_OR_GENERAL			164d06b8a3244a64da4a4d404b76406109a95764	2026-07-13T22:50:32+08:00	OHLCV	"[""Data Spec"", ""OHLCV"", ""数据目录规则"", ""5 分钟行情加速存储"", ""Tushare 规范化字段"", ""资金流确认字段"", ""缠论结构字段"", ""样例数据"", ""MACD 正式候选数据集（封存测试前置）"", ""覆盖范围与来源"", ""必需 bar 与 sidecar 字段"", ""复权、缺失与质量规则"", ""Manifest 与切分""]"	[]	[]	See Conflict-Register.md	NONE_EXACT	STALE_OR_HISTORICAL	ARCHIVE	KEEP_HISTORICAL_AT_STABLE_PATH	docs/Data-Spec.md	VERIFIED
docs/Dividend-T-Platform.md	A 股买卖点识别模型	LEGACY_OR_GENERAL			1c527dec21979de79da0de9c9e1a1f1be9495c2e	2026-07-09T20:27:27+08:00	当前实现范围	"[""A 股买卖点识别模型"", ""当前实现范围"", ""仓位口径"", ""运行 Dashboard"", ""模型模块"", ""缠论 + 退神接入边界"", ""用户需要操作的清单"", ""QMT L1 只读行情接入"", ""中远海控 5 分钟输出字段"", ""当前边界""]"	[]	[]	See Conflict-Register.md	NONE_EXACT	STALE_OR_HISTORICAL	ARCHIVE	KEEP_HISTORICAL_AT_STABLE_PATH	docs/Dividend-T-Platform.md	VERIFIED
docs/Formal-Data-Source-Capability-Audit.md	正式数据源能力审计（Task 11A.9）	LEGACY_OR_GENERAL	**能力审计完成；没有任何当前免费/缓存数据源被批准为正式 MACD 数据集主源。**		b95cb4421c9e5cca0b6fec52171ed64da2739fbe	2026-07-14T00:35:52+08:00	能力矩阵	"[""正式数据源能力审计（Task 11A.9）"", ""能力矩阵"", ""本地实测结论"", ""建议的来源组合与验收顺序"", ""不可获得/尚未证明的字段"", ""不变约束""]"	[]	"[""https://www.tushare.pro/document/2?doc_id=146"", ""https://tushare.pro/document/2?doc_id=469"", ""https://akshare.akfamily.xyz/data/index/index.html""]"	See Conflict-Register.md	NONE_EXACT	STALE_OR_HISTORICAL	ARCHIVE	KEEP_HISTORICAL_AT_STABLE_PATH	docs/Formal-Data-Source-Capability-Audit.md	VERIFIED
docs/Formal-Data-Source-PoC-2026-07-14.md	BaoStock 正式数据源 PoC（2026-07-14）	LEGACY_OR_GENERAL	**完成实际抓取；Builder 拒绝；不得进入真实 development dataset。**		8ef3d208bd72f69ab0f2c512cd9b1d85274b2972	2026-07-14T09:25:26+08:00	抓取范围与可复现证据	"[""BaoStock 正式数据源 PoC（2026-07-14）"", ""抓取范围与可复现证据"", ""Builder 结果"", ""结论与下一步""]"	[]	[]	See Conflict-Register.md	NONE_EXACT	STALE_OR_HISTORICAL	ARCHIVE	KEEP_HISTORICAL_AT_STABLE_PATH	docs/Formal-Data-Source-PoC-2026-07-14.md	VERIFIED
docs/Formal-MACD-Dataset-Builder-Plan.md	正式 MACD 候选数据构建器计划（Task 11A.6）	LEGACY_OR_GENERAL	**数据适配与构建计划，未构建正式数据集，未访问 sealed test。**		b02e93f9eba2c1bfc7d834f00dcf1e7cb984d18f	2026-07-14T09:25:21+08:00	责任边界与适配器	"[""正式 MACD 候选数据构建器计划（Task 11A.6）"", ""责任边界与适配器"", ""构建步骤"", ""频率、字段与口径"", ""涨跌停、停牌与交易资格"", ""质量报告与 Manifest"", ""切分"", ""当前结论"", ""Task 11A.10 MVP（research-only）"", ""Task 11A.11 correctness hardening""]"	[]	[]	See Conflict-Register.md	NONE_EXACT	STALE_OR_HISTORICAL	ARCHIVE	KEEP_HISTORICAL_AT_STABLE_PATH	docs/Formal-MACD-Dataset-Builder-Plan.md	VERIFIED
docs/MACD-Research-Audit.md	MACD 买卖点研究审计（Task 11A.3）	LEGACY_OR_GENERAL			3604d4e22699ffc2e89d0133c1516565df3934c1	2026-07-14T00:24:26+08:00	标签定义	"[""MACD 买卖点研究审计（Task 11A.3）"", ""标签定义"", ""校准与分层"", ""阈值稳健性"", ""当前卖点缺口""]"	[]	[]	See Conflict-Register.md	NONE_EXACT	STALE_OR_HISTORICAL	ARCHIVE	KEEP_HISTORICAL_AT_STABLE_PATH	docs/MACD-Research-Audit.md	VERIFIED
docs/Project-Structure.md	Market Regime Alpha 目录与领域边界	LEGACY_OR_GENERAL			1abafd4763a8f281c0c8699745900d3dcf01dba6	2026-07-15T09:42:30+08:00	仓库级目录边界	"[""Market Regime Alpha 目录与领域边界"", ""仓库级目录边界"", ""`src/market_regime_alpha/` 目标 bounded contexts"", ""Legacy `dividend_t` 边界"", ""文档权威边界"", ""放置规则"", ""版本与提交边界"", ""当前迁移阶段"", ""常用入口""]"	[]	[]	See Conflict-Register.md	NONE_EXACT	STALE_OR_HISTORICAL	ARCHIVE	KEEP_HISTORICAL_AT_STABLE_PATH	docs/Project-Structure.md	VERIFIED
docs/Sell-Side-Model-Spec.md	卖点模型独立设计规格（Task 11A.5）	LEGACY_OR_GENERAL	**设计冻结，未授权大范围实现或启用生产。** 本规格不改变默认		9f46f5ec73d36fd9243b1f5f46e948b1cb7a38ba	2026-07-14T00:29:29+08:00	候选动作契约	"[""卖点模型独立设计规格（Task 11A.5）"", ""候选动作契约"", ""持仓生命周期上下文"", ""标准化退出组件"", ""reverse-T 买回状态机"", ""研究标签"", ""实施边界""]"	"[""解析器在后续符合 target 的可执行 bar 完成，扣费后比较已分配卖出所得；只有买回数量""]"	[]	See Conflict-Register.md	NONE_EXACT	STALE_OR_HISTORICAL	ARCHIVE	KEEP_HISTORICAL_AT_STABLE_PATH	docs/Sell-Side-Model-Spec.md	VERIFIED
docs/Tushare-App.md	Tushare A股行情查询项目	LEGACY_OR_GENERAL			24c8de2b5141d4d6a80d3f23eef1b6d084a48ecd	2026-07-09T00:03:11+08:00	安装依赖	"[""Tushare A股行情查询项目"", ""安装依赖"", ""配置 Token"", ""命令行读取数据"", ""启动页面"", ""注意""]"	[]	[]	See Conflict-Register.md	NONE_EXACT	STALE_OR_HISTORICAL	ARCHIVE	KEEP_HISTORICAL_AT_STABLE_PATH	docs/Tushare-App.md	VERIFIED
docs/Usage-Manual.md	A 股买卖点识别模型使用手册	LEGACY_OR_GENERAL			1c527dec21979de79da0de9c9e1a1f1be9495c2e	2026-07-09T20:27:27+08:00	1. 项目定位	"[""A 股买卖点识别模型使用手册"", ""1. 项目定位"", ""2. 目录结构"", ""3. 关键文件"", ""4. 环境要求"", ""5. 快速运行"", ""6. 回测输出解读"", ""7. 数据使用规范"", ""8. 新增策略流程"", ""9. Python 模块用法"", ""10. 测试"", ""11. 研究工作流"", ""12. 后续扩展建议"", ""13. 安全边界""]"	"[""│   ├── implemented/           已实现策略"", ""7. 只有当假设、数据、回测、风险和结论都清楚时，才把策略从 `ideas/` 移到 `implemented/`。""]"	[]	See Conflict-Register.md	NONE_EXACT	STALE_OR_HISTORICAL	ARCHIVE	KEEP_HISTORICAL_AT_STABLE_PATH	docs/Usage-Manual.md	VERIFIED
docs/architecture/Constitution-Consistency-Audit.md	Constitution Consistency Audit	ARCHITECTURE_OR_AUDIT	R0 closeout audit	Implementation interpretation and R0 closeout record. This document does not create a new Constitution volume and does not override `docs/constitution/00–09`.	1a77b9dacd816a172eb1accd2d6f24a424da588c	2026-07-15T09:38:18+08:00	1. Audit Question	"[""Constitution Consistency Audit"", ""1. Audit Question"", ""2. Audit Result"", ""2.1 Direction-level result"", ""2.2 Critical implementation warning"", ""2.3 ETF / Theme interpretation"", ""3. Cross-Volume Consistency Findings"", ""C-001 — Pre-Data-Constitution eligibility vocabulary in Architecture"", ""C-002 — Unqualified `confidence` wording"", ""C-003 — Mixed workflow/authority examples in early Validation wording"", ""C-004 — `NO_ACTION` grouped with availability/error semantics in Roadmap R2"", ""C-005 — Formatting defect in Architecture Legacy migration section"", ""4. Original Intent to Constitution Traceability"", ""5. R0 Exit Decision"", ""6. Binding Implementation Constraints for R1/R2""]"	"[""> **Scope:** Original project intent, Constitution Volumes `00–09`, current Legacy architecture, and the transition into R1/R2 implementation"", ""- Candidate Discovery as the current first strategic new research priority;"", ""It is not a reason to postpone Candidate Discovery until every future platform component is complete."", ""BLOCKED"", ""A missing or blocked input may lead to `NO_ACTION`, but the two belong to different owners and must not share one enum."", ""| Preserve current working Legacy system | `00`, `02`, `08`, `09` | Preserved through Strangler migration |""]"	[]	See Conflict-Register.md	NONE_EXACT	STALE_OR_HISTORICAL	ARCHIVE	KEEP_HISTORICAL_AT_STABLE_PATH	docs/architecture/Constitution-Consistency-Audit.md	VERIFIED
